Editor type,A to C,A to G,A to T,C to A,C to G,C to T,G to A,G to C,G to T,T to A,T to C,T to G
CBE,,,,"(-9, 20)","(-9, 20)","(-9, 20)","(-9, 5)","(-9, 5)",,,,
ABE,"(1, 10)","(-5, 20)","(1, 10)",,"(1, 10)","(1, 10)",,,,,,
